id,type,prob_Ia
1360315005815010004,RRLyr,0.663
1451391484515015016,Ia,0.823
1371225571615015008,RRLyr,0.707
1306465462715010013,QSO,0.694
1390415542315010021,RRLyr,0.693
1360528575915015015,Star,0.343
1537516034815015025,LPV*,0.222
1423113723215010017,RRLyr,0.871
1390330620015010000,QSO,0.762
1514484123615010000,SNII,0.336
1301402881815010034,QSO,0.816
1519172502715015003,SNIIn,0.722
1285213701715010000,QSO,0.448
1403416086015010000,EB*,0.236
1540227442015010006,EB*,0.677
1521149733715015010,Star,0.242
1339368774515015007,EB*,0.779
1413133126015010029,Star,0.719
1524399423215015006,RRLyr,0.281
1542373693215010000,Ia,0.759
1302412714515010007,C*,0.267
1307162884015015003,QSO,0.83
1396190825315010004,RRLyr,0.316
1526257164715010020,RRLyr,0.549
1396152754515015008,Star,0.229
1373379435415010001,RRLyr,0.564
1344343533515010005,EB*,0.711
1299322936015010004,QSO,0.643
1292405982415015019,Star,0.438
1300435634215010007,QSO,0.572
1357366992515015001,QSO,0.758
1363273316315010003,RRLyr,0.779
1384345720715010016,EB*,0.775
1427532332715015003,Ia,0.826
1421307834715015010,LPV*,0.192
1389478546015015017,AGN,0.775
1362284361215010004,LPV*,0.149
1291250001315010000,QSO,0.405
1296376675815010020,RRLyr,0.724
1307332475115015008,Ia,0.848
1541481145015015010,RRLyr,0.33
1542207560615010029,EB*,0.503
1434142855415010013,CV,0.667
1051079891115015264,Ia,0.741
1410128005915010001,RRLyr,0.397
1538168885515010018,deltaCep,0.293
1280365562215010007,LPV*,0.203
1213352482015010024,Ia,0.428
1382189475315015001,RRLyr,0.315
1398455245615010000,EB*,0.646
1384295622615015009,BLLac,0.321
1521486560315015005,Mira,0.527
1299412731815010006,LPV*,0.31
1357368390815010026,QSO,0.694
1400196402415010012,RRLyr,0.65
1404351114015015003,EB*,0.818
1298425822515010007,EB*,0.776
1413252955315010002,RRLyr,0.24
1362528025415015009,Mira,0.17
1428100631115015004,Star,0.727
1278236480515015004,QSO,0.353
1404365742615010004,EB*,0.589
1542250332915015003,RRLyr,0.255
1537196033515010020,C*,0.516
1424160655815010005,RRLyr,0.765
1386178531515015002,RRLyr,0.648
1401228272415010006,EB*,0.276
1426447974015010014,EB*,0.312
1541482551415015002,RRLyr,0.346
1364204011315015008,Ia,0.763
1387362470715010015,DwarfNova,0.551
1398120472415010003,RRLyr,0.667
1361364034915015004,Ia,0.85
1336356775215015001,Ia,0.876
1299359882815010060,Star,0.251
1375244061815010018,RRLyr,0.812
1410307011015010017,EB*,0.733
1345333213215015018,RRLyr,0.185
1387381032815010043,EB*,0.853
1371406043915010008,LPV*,0.535
1385441750815010076,Mira,0.407
1527314590515015006,RRLyr,0.307
1288331213515015000,Star,0.453
1292220373415015012,QSO,0.726
1151302372115015001,Ia,0.645
1359262883915015030,YSO,0.483
1301416935315015010,QSO,0.747
1295305170715010008,QSO,0.675
1404368261115010006,TTau*,0.144
1550413550715015000,RRLyr,0.548
1404124513115010007,DwarfNova,0.33
1422417103915015003,Star,0.19
1292386644115010000,EB*,0.415
1281214671415015001,RRLyr,0.219
1380176150015015026,Mira,0.186
1427134225215010001,SNIIn,0.205
1301357142515010007,RRLyr,0.449
1359426244415010004,EB*,0.73
1293284870215010024,RRLyr,0.628
1296330972415010027,QSO,0.417
1413135506315010051,Star,0.17
1404221000315010023,Star,0.397
1358304606315010005,BLLac,0.811
1380323681415015010,Star,0.329
1355406070915010009,RRLyr,0.658
1536342973115010003,QSO,0.326
1522286665015015006,RRLyr,0.796
1396463375315010005,TTau*,0.298
1341420433915015008,V*,0.367
1522189312815015014,TTau*,0.237
1302286564615015011,Star,0.727
1520254221315010021,Star,0.422
1518409722815015035,Ia,0.759
1160447481015010005,SNIIP,0.685
1362264466115015016,RRLyr,0.373
1399477444815015010,Ia,0.846
1366231450115010027,LPV*,0.305
1409506085615015004,Star,0.389
1538172693215010001,EB*,0.814
1302279270415010000,Ia,0.338
1343354594315010005,EB*,0.551
1341331575615015012,V*,0.8
1363285260315010005,RRLyr,0.858
1361215253715015007,EB*,0.414
1549213571715015000,EB*,0.57
1365373020215010003,EB*,0.874
1547504571415010015,RRLyr,0.851
1537378260015015007,RRLyr,0.398
1412403543615015000,DwarfNova,0.542
1343336920715015014,Mira,0.118
1411148652915010017,EB*,0.335
1541510174615015003,Star,0.399
1342314711815015002,EB*,0.524
1337261192515010000,SNIIb,0.825
1344161793815015005,BLLac,0.199
1298415971215015001,LPV*,0.133
1360514864215015002,LPV*,0.466
1380383475715010008,EB*WUMa,0.696
1327232786315015000,Ia,0.894
1355326282515010023,QSO,0.153
1401162393115015006,RRLyr,0.239
1158404583715015006,Ia,0.803
1363415655715015009,EB*,0.696
1373306072315015001,QSO,0.775
1292226002215015054,RRLyr,0.763
1352403114615010007,QSO,0.206
1280374156115015005,Star,0.725
1414433583115015009,EB*,0.353
1391129471915015023,RRLyr,0.545
1342310431815015006,Nova,0.253
1361244501715010037,RRLyr,0.7
1397485694815015017,Ia,0.714
1360195640315010019,LPV*,0.224
1425113775715015009,QSO,0.401
1060232871715010009,Ia,0.771
1302338350515015008,LPV*,0.465
1395385055515010025,RRLyr,0.633
1421455914215010000,RRLyr,0.677
1422489164015010049,EB*,0.83
1298492831215010009,RRLyr,0.42
1416527590515015014,QSO,0.296
1245296163615015015,SNII,0.824
1414163556015015001,RRLyr,0.557
1357217972815010002,RRLyr,0.369
1360478680815015009,EB*,0.432
1404218174515015001,EB*,0.223
1413148860615015001,RRLyr,0.748
1363432430815010123,RRLyr,0.408
1343403722915010009,Star,0.461
1421523433715010000,RRLyr,0.681
1414437334815010001,EB*,0.232
1345330870615015015,RRLyr,0.276
1284340611815015031,Star,0.837
1397130350015010024,RRLyr,0.538
1419082755715025029,Star,0.183
1424102663115010026,DwarfNova,0.531
1293274574315015002,Star,0.39
1282386316015015008,LPV*,0.596
1290214646215010002,RRLyr,0.374
1417139985115010029,RRLyr,0.318
1341401565715015006,C*,0.344
1353425715115015021,EB*,0.409
1524147451415010036,EB*,0.688
1289224673515015004,RRLyr,0.75
1381453571715010012,RRLyr,0.699
1418229233415015004,RRLyr,0.86
1538439222515010002,RRLyr,0.57
1425136294615015015,RRLyr,0.717
1352407904415015001,RRLyr,0.716
1516144184015015000,Ia,0.942
1305394153815015023,Star,0.494
1360184314615010016,Star,0.761
1478347110015010013,Ia,0.727
1400137831915015011,Star,0.455
1283445164715015025,Star,0.18
1295194975515010004,RRLyr,0.813
