"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"149928","SN 2024gqj","09:46:58.177","+11:52:13.73","SN Ia","0.072289","","","ZTF","ZTF","ZTF","ZTF","ZTF24aajemkb","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.6234","g-ZTF","2024-04-13 06:24:39.003","Fritz","","2024TNSTR1086....1S","2024TNSCR1143....1F",""
"149908","SN 2024gpp","16:21:06.119","+38:30:30.03","SN Ia","0.08","","","ZTF, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; YSE; ZTF","ZTF24aajqtjc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","21.9385","g-ZTF","2024-04-11 11:50:12.998","Fritz","","2024TNSTR1063....1S","2024TNSCR1203....1H",""
"149907","SN 2024gpo","17:44:03.412","+33:05:39.32","SN Ia","0.076","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; Fink; ZTF","ZTF24aajqsti","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.6998","r-ZTF","2024-04-14 10:49:56.000","Fritz","","2024TNSTR1063....1S","2024TNSCR1338....1F",""
"149906","SN 2024gpn","23:19:45.044","+22:30:08.52","SN Ia-91T-like","0.040511","","","ZTF","ZTF","ZTF","ZTF","ZTF24aajjoxu","P48 - ZTF-Cam","P200 - DBSP","1","1","","17.0243","r-ZTF","2024-04-12 12:24:35.003","Fritz","","2024TNSTR1063....1S","2024TNSCR1451....1Q",""
"149884","SN 2024got","13:20:00.961","+79:57:28.07","SN Ia","0.085","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF24aaisoke","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.2884","g-ZTF","2024-04-08 07:48:21.003","Fritz","","2024TNSTR1062....1G","2024TNSCR1179....1F",""
"149883","SN 2024gos","13:25:43.566","+17:15:52.12","SN Ia","0.07876","","","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS; GOTO; Pan-STARRS; ZTF","ZTF24aaimlne","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.602","g-ZTF","2024-04-08 07:37:13.995","Fritz","","2024TNSTR1064....1S","2024TNSCR1104....1F",""
"149835","SN 2024gmx","13:44:59.109","-08:44:01.21","SN Ia","0.095","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aajplyg","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","20.4558","g-ZTF","2024-04-08 07:35:10.996","Fritz","","2024TNSTR1052....1S","2024TNSCR1268....1F",""
"149825","SN 2024gmo","09:46:47.440","+72:27:03.56","SN Ia","0.0668","","","ZTF","ZTF","ZTF","ZTF","ZTF24aairune","P48 - ZTF-Cam","P200 - DBSP","1","1","","18.9969","g-ZTF","2024-04-08 06:48:18.996","Fritz","","2024TNSTR1052....1S","2024TNSCR1340....1R",""
"149824","SN 2024gmn","14:32:12.341","+04:59:33.02","SN Ia","0.084767","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF24aaismud","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.8533","g-ZTF","2024-04-08 07:42:02.001","Fritz","","2024TNSTR1052....1S","2024TNSCR1180....1J",""
"149822","SN 2024gml","14:10:20.695","+21:28:46.58","SN Ia","0.069664","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aajhlhf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","19.6395","g-ZTF","2024-04-13 08:08:28.996","Fritz","","2024TNSTR1052....1S","2024TNSCR1435....1C",""
"149473","SN 2024gad","15:21:23.752","+52:21:12.49","SN Ia","0.04106478941915","","","ZTF, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; YSE; ZTF","ZTF24aaistkr","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.54","g-ZTF","2024-04-08 08:08:09.600","ZTF_Bot1","","2024TNSTR.978....1F","2024TNSCR1088....1F",""
